source,date,text,rating,url,discovery_subtheme,sentiment,pain_point
play_store,2026-06-19T07:59:48+00:00,Love this app. So many great songs and Playlists. I love the fact that you can create your own personal radio stations based on the genre of music that you like 👍,5,https://play.google.com/store/apps/details?id=com.spotify.music,discovery_features,positive,none
play_store,2026-06-19T07:52:45+00:00,"Spotify has increased their prices too much. Request to bring back the price. I had switched to apple music. it provides affordable listening experience. with lossless music. but the suggestions in Spotify is good that i feel like coming back, if the cost is affordable",1,https://play.google.com/store/apps/details?id=com.spotify.music,recommendation_quality,mixed,none
play_store,2026-06-19T07:24:26+00:00,10/10 do recommend. it has every song that I like,5,https://play.google.com/store/apps/details?id=com.spotify.music,catalog_availability,positive,none
play_store,2026-06-19T07:09:56+00:00,Use to be the best but now with the dj and enhanced shuffle and other annoying things i cant trun off adds more lag as well as an increase in issues and problems with the app. So much irrelevant stuff now on the main page and I can't even find new music from artists that I follow anymore seems like a basic thing that should have stayed in the app No clue why they got rid of it but the moves that they're making make me want to move to a completely different music app rather than paying for this.,1,https://play.google.com/store/apps/details?id=com.spotify.music,search_and_navigation,negative,Can't find new music from followed artists
play_store,2026-06-19T04:48:32+00:00,Awesome way to find new music. The layout is awesome. Love it The best music app out there.,5,https://play.google.com/store/apps/details?id=com.spotify.music,discovery_features,positive,none
play_store,2026-06-19T02:57:39+00:00,"Radio option has become so unusable because of ""promotional tool for artists"" which increases likelihood of trash songs bring recommended.",2,https://play.google.com/store/apps/details?id=com.spotify.music,discovery_features,negative,Low quality song recommendations
play_store,2026-06-19T02:13:38+00:00,"It's been a good app, but I feel like ""smart shuffle"" shouldn't be playing the same songs. It's starting to become like Pandora.",3,https://play.google.com/store/apps/details?id=com.spotify.music,repetition_filter_bubble,negative,Same songs playing repeatedly
play_store,2026-06-19T01:32:34+00:00,ADDS ON A PAID SUBSCRIPTION?!?!?! COULD NOT SKIP?!?!?! ONE MORE TOME AND NO MORE MONEY FOR YOU!!! Other wise I like it a lot.,2,https://play.google.com/store/apps/details?id=com.spotify.music,other,mixed,cannot skip songs
play_store,2026-06-19T01:11:39+00:00,This is an amazing experience that I am in love with because of good music and recommendations!!,5,https://play.google.com/store/apps/details?id=com.spotify.music,recommendation_quality,positive,none
play_store,2026-06-18T23:58:11+00:00,Full ads after 1 song... highly not recommended,1,https://play.google.com/store/apps/details?id=com.spotify.music,other,negative,Frequent ads
play_store,2026-06-18T22:59:04+00:00,"Spotify is literally my favorite thing in existence. Their recommendations are perfection, daily mixes are to die for, and I look forward to getting my top songs list every year. Couldn't live without it",5,https://play.google.com/store/apps/details?id=com.spotify.music,recommendation_quality,positive,none
